[ 2018-02-20T09:32:42+08:00 ] /favicon.ico | ERR: (ThinkException) 无法加载模块favicon.ico
[ 2018-02-20T09:32:51+08:00 ] /favicon.ico | ERR: (ThinkException) 无法加载模块favicon.ico
[ 2018-02-20T09:33:00+08:00 ] /favicon.ico | ERR: (ThinkException) 无法加载模块favicon.ico
[ 2018-02-20T09:33:46+08:00 ] /favicon.ico | ERR: (ThinkException) 无法加载模块favicon.ico
[ 2018-02-20T09:39:13+08:00 ] /favicon.ico | ERR: (ThinkException) 无法加载模块favicon.ico
[ 2018-02-20T09:51:33+08:00 ] /favicon.ico | ERR: (ThinkException) 无法加载模块favicon.ico
[ 2018-02-20T09:51:36+08:00 ] /favicon.ico | ERR: (ThinkException) 无法加载模块favicon.ico
[ 2018-02-20T09:51:37+08:00 ] /favicon.ico | ERR: (ThinkException) 无法加载模块favicon.ico
[ 2018-02-20T09:51:38+08:00 ] /favicon.ico | ERR: (ThinkException) 无法加载模块favicon.ico
[ 2018-02-20T09:51:46+08:00 ] /favicon.ico | ERR: (ThinkException) 无法加载模块favicon.ico
[ 2018-02-20T09:51:50+08:00 ] /favicon.ico | ERR: (ThinkException) 无法加载模块favicon.ico
[ 2018-02-20T09:52:00+08:00 ] /favicon.ico | ERR: (ThinkException) 无法加载模块favicon.ico
[ 2018-02-20T09:52:02+08:00 ] /favicon.ico | ERR: (ThinkException) 无法加载模块favicon.ico
[ 2018-02-20T09:52:13+08:00 ] /favicon.ico | ERR: (ThinkException) 无法加载模块favicon.ico
[ 2018-02-20T09:52:15+08:00 ] /favicon.ico | ERR: (ThinkException) 无法加载模块favicon.ico
[ 2018-02-20T09:52:32+08:00 ] /favicon.ico | ERR: (ThinkException) 无法加载模块favicon.ico
[ 2018-02-20T09:52:34+08:00 ] /favicon.ico | ERR: (ThinkException) 无法加载模块favicon.ico
[ 2018-02-20T09:52:36+08:00 ] /favicon.ico | ERR: (ThinkException) 无法加载模块favicon.ico
[ 2018-02-20T09:52:43+08:00 ] /favicon.ico | ERR: (ThinkException) 无法加载模块favicon.ico
[ 2018-02-20T09:52:47+08:00 ] /favicon.ico | ERR: (ThinkException) 无法加载模块favicon.ico
[ 2018-02-20T09:52:53+08:00 ] /favicon.ico | ERR: (ThinkException) 无法加载模块favicon.ico
[ 2018-02-20T09:52:55+08:00 ] /favicon.ico | ERR: (ThinkException) 无法加载模块favicon.ico
[ 2018-02-20T09:53:06+08:00 ] /favicon.ico | ERR: (ThinkException) 无法加载模块favicon.ico
[ 2018-02-20T09:53:06+08:00 ] /favicon.ico | ERR: (ThinkException) 无法加载模块favicon.ico
[ 2018-02-20T09:53:12+08:00 ] /favicon.ico | ERR: (ThinkException) 无法加载模块favicon.ico
[ 2018-02-20T09:53:17+08:00 ] /favicon.ico | ERR: (ThinkException) 无法加载模块favicon.ico
[ 2018-02-20T10:00:44+08:00 ] /favicon.ico | ERR: (ThinkException) 无法加载模块favicon.ico
[ 2018-02-20T10:00:45+08:00 ] /favicon.ico | ERR: (ThinkException) 无法加载模块favicon.ico
[ 2018-02-20T10:01:25+08:00 ] /favicon.ico | ERR: (ThinkException) 无法加载模块favicon.ico
[ 2018-02-20T10:06:58+08:00 ] /favicon.ico | ERR: (ThinkException) 无法加载模块favicon.ico
[ 2018-02-20T10:06:59+08:00 ] /favicon.ico | ERR: (ThinkException) 无法加载模块favicon.ico
[ 2018-02-20T10:07:06+08:00 ] /favicon.ico | ERR: (ThinkException) 无法加载模块favicon.ico
[ 2018-02-20T10:07:12+08:00 ] /favicon.ico | ERR: (ThinkException) 无法加载模块favicon.ico
[ 2018-02-20T10:07:13+08:00 ] /favicon.ico | ERR: (ThinkException) 无法加载模块favicon.ico
[ 2018-02-20T10:07:26+08:00 ] /favicon.ico | ERR: (ThinkException) 无法加载模块favicon.ico
[ 2018-02-20T10:07:26+08:00 ] /favicon.ico | ERR: (ThinkException) 无法加载模块favicon.ico
[ 2018-02-20T10:07:27+08:00 ] /favicon.ico | ERR: (ThinkException) 无法加载模块favicon.ico
[ 2018-02-20T10:07:28+08:00 ] /favicon.ico | ERR: (ThinkException) 无法加载模块favicon.ico
[ 2018-02-20T10:07:29+08:00 ] /favicon.ico | ERR: (ThinkException) 无法加载模块favicon.ico
[ 2018-02-20T10:07:37+08:00 ] /favicon.ico | ERR: (ThinkException) 无法加载模块favicon.ico
[ 2018-02-20T10:07:39+08:00 ] /favicon.ico | ERR: (ThinkException) 无法加载模块favicon.ico
[ 2018-02-20T10:08:29+08:00 ] /favicon.ico | ERR: (ThinkException) 无法加载模块favicon.ico
[ 2018-02-20T10:08:31+08:00 ] /favicon.ico | ERR: (ThinkException) 无法加载模块favicon.ico
[ 2018-02-20T10:08:32+08:00 ] /favicon.ico | ERR: (ThinkException) 无法加载模块favicon.ico
[ 2018-02-20T10:08:39+08:00 ] /favicon.ico | ERR: (ThinkException) 无法加载模块favicon.ico
[ 2018-02-20T10:08:40+08:00 ] /favicon.ico | ERR: (ThinkException) 无法加载模块favicon.ico
[ 2018-02-20T10:08:47+08:00 ] /favicon.ico | ERR: (ThinkException) 无法加载模块favicon.ico
[ 2018-02-20T10:08:55+08:00 ] /favicon.ico | ERR: (ThinkException) 无法加载模块favicon.ico
[ 2018-02-20T10:08:56+08:00 ] /favicon.ico | ERR: (ThinkException) 无法加载模块favicon.ico
[ 2018-02-20T10:08:58+08:00 ] /favicon.ico | ERR: (ThinkException) 无法加载模块favicon.ico
[ 2018-02-20T10:14:35+08:00 ] /favicon.ico | ERR: (ThinkException) 无法加载模块favicon.ico
[ 2018-02-20T10:14:37+08:00 ] /favicon.ico | ERR: (ThinkException) 无法加载模块favicon.ico
[ 2018-02-20T10:14:38+08:00 ] /favicon.ico | ERR: (ThinkException) 无法加载模块favicon.ico
[ 2018-02-20T10:14:43+08:00 ] /favicon.ico | ERR: (ThinkException) 无法加载模块favicon.ico
[ 2018-02-20T10:14:52+08:00 ] /favicon.ico | ERR: (ThinkException) 无法加载模块favicon.ico
[ 2018-02-20T10:14:53+08:00 ] /favicon.ico | ERR: (ThinkException) 无法加载模块favicon.ico
[ 2018-02-20T10:27:38+08:00 ] /favicon.ico | ERR: (ThinkException) 无法加载模块favicon.ico
[ 2018-02-20T10:30:39+08:00 ] /favicon.ico | ERR: (ThinkException) 无法加载模块favicon.ico
[ 2018-02-20T10:31:19+08:00 ] /favicon.ico | ERR: (ThinkException) 无法加载模块favicon.ico
[ 2018-02-20T10:33:01+08:00 ] /favicon.ico | ERR: (ThinkException) 无法加载模块favicon.ico
[ 2018-02-20T10:33:01+08:00 ] /favicon.ico | ERR: (ThinkException) 无法加载模块favicon.ico
[ 2018-02-20T10:33:02+08:00 ] /favicon.ico | ERR: (ThinkException) 无法加载模块favicon.ico
[ 2018-02-20T10:33:03+08:00 ] /favicon.ico | ERR: (ThinkException) 无法加载模块favicon.ico
[ 2018-02-20T10:33:05+08:00 ] /favicon.ico | ERR: (ThinkException) 无法加载模块favicon.ico
[ 2018-02-20T10:33:09+08:00 ] /index.php | INFO: Tag[ app_begin ] --START--
[ 2018-02-20T10:33:09+08:00 ] /index.php | INFO: Run ReadHtmlCache Behavior [ RunTime:0.001384s ]
[ 2018-02-20T10:33:09+08:00 ] /index.php | INFO: Tag[ app_begin ] --END-- [ RunTime:0.001540s ]
[ 2018-02-20T10:33:09+08:00 ] /index.php | NOTIC: [8] Undefined index: auto_login CommonAction.class.php 第 10 行.
[ 2018-02-20T10:33:09+08:00 ] /index.php | NOTIC: [8192] mysql_connect(): The mysql extension is deprecated and will be removed in the future: use mysqli or PDO instead DbMysql.class.php 第 67 行.
[ 2018-02-20T10:33:09+08:00 ] /index.php | SQL: SHOW COLUMNS FROM `ningbo_follow_fans` [ RunTime:0.002484s ]
[ 2018-02-20T10:33:09+08:00 ] /index.php | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead Db.class.php 第 660 行.
[ 2018-02-20T10:33:09+08:00 ] /index.php | SQL: SELECT `follow` FROM `ningbo_follow_fans` WHERE ( `fans` = '1' )  [ RunTime:0.000713s ]
[ 2018-02-20T10:33:09+08:00 ] /index.php | SQL: SHOW COLUMNS FROM `ningbo_weibo` [ RunTime:0.001197s ]
[ 2018-02-20T10:33:09+08:00 ] /index.php | SQL: SHOW COLUMNS FROM `ningbo_userinfo` [ RunTime:0.001327s ]
[ 2018-02-20T10:33:09+08:00 ] /index.php | SQL: SHOW COLUMNS FROM `ningbo_picture` [ RunTime:0.001857s ]
[ 2018-02-20T10:33:09+08:00 ] /index.php | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead Db.class.php 第 660 行.
